factor,trade_date,tvalues,correlation
close,2010-01-31,-2.1602102959156664,-0.13016024566699491
close,2010-02-28,1.2496323305672969,0.07350564853446058
close,2010-03-31,-1.8209039186365199,-0.10709878486961616
close,2010-04-30,-1.2961937155192804,-0.095684541940237608
close,2010-05-31,-1.2913429296037437,-0.10250062674237266
close,2010-06-30,1.0026069198003882,0.080750078521867441
close,2010-07-31,2.7732544374858921,0.20333105397446291
close,2010-08-31,0.79372824117900909,0.068143568382474123
close,2010-09-30,2.8269094631505864,0.29428109921026163
close,2010-10-31,7.0783215670129938,0.53241164012835973
close,2010-11-30,0.99754939103187723,0.088905967535200234
close,2010-12-31,5.6295874156809305,0.37817741770938101
close,2011-01-31,3.2650129072348024,0.22358628018815557
close,2011-02-28,3.1455519822510283,0.14792816134919551
close,2011-03-31,1.1231523713970237,0.062311621322983297
close,2011-04-30,2.9989300903790475,0.18918547488988555
close,2011-05-31,1.833863123551325,0.088471699661775205
close,2011-06-30,2.3995190692553408,0.12466850574322633
close,2011-07-31,-0.96919986589430274,-0.063650972833428549
close,2011-08-31,0.16068043649103128,0.013915465603013166
close,2011-09-30,0.92439117547990568,0.0636872582426838
close,2011-10-31,-0.56698976092637643,-0.045092124589862323
close,2011-11-30,2.6475148202504375,0.19773851324712563
close,2011-12-31,2.704720305687855,0.33269339252328206
close,2012-01-31,4.7415472934980158,0.45035866705271332
close,2012-02-29,1.8241708864641777,0.13863917866642425
close,2012-03-31,1.354889185984093,0.13685908188805443
close,2012-04-30,4.0699027428593642,0.35675245013801704
close,2012-05-31,3.6828191751056281,0.34055504855339636
close,2012-06-30,1.7628995950490158,0.15106656682266442
close,2012-07-31,4.6108726481383213,0.39051672124187142
close,2012-08-31,0.90940624431007189,0.14143918597827174
close,2012-09-30,4.5070008193326219,0.43852326317490908
close,2012-10-31,2.6308478363949122,0.34328716342236443
close,2012-11-30,3.2356789654455165,0.29929222332186428
close,2012-12-31,1.488360251545493,0.17348113895422368
close,2013-01-31,1.815062594104655,0.20154504762134959
close,2013-02-28,2.0319931901833321,0.18009780534082159
close,2013-03-31,7.2507288243226204,0.68010865181398794
close,2013-04-30,4.0056716907091117,0.34556393522365186
close,2013-05-31,2.3688191401316976,0.22322972490173998
close,2013-06-30,6.9554128570274321,0.57538981015722479
close,2013-07-31,2.820236231517764,0.2568236558219042
close,2013-08-31,1.0531400420220696,0.13104257121109122
close,2013-09-30,8.0594897200518059,0.70071761649950548
close,2013-10-31,-0.12531824475886325,-0.013234809186883495
close,2013-11-30,0.63348046478689624,0.041256328500217369
close,2013-12-31,1.6180202009052762,0.11117124560184183
close,2014-01-31,3.7185308602184586,0.32792907497157886
close,2014-02-28,1.6396723064748726,0.15617511758410602
close,2014-03-31,-0.34521227558065665,-0.03335253832762812
close,2014-04-30,1.8121939785360919,0.14376389821310645
close,2014-05-31,-1.0102322709142151,-0.068465013811567207
close,2014-06-30,2.5807508684389782,0.17517451981087545
close,2014-07-31,-0.69510233089174522,-0.067387046054219815
close,2014-08-31,3.7178899969001438,0.35178720642189903
close,2014-09-30,2.1839235808134552,0.27320527001736067
close,2014-10-31,0.22474027510776851,0.016668847873955121
close,2014-11-30,2.9398985599466991,0.39762390033278416
close,2014-12-31,8.9364266103698995,1.0729009271089918
close,2015-01-31,3.3571164630695871,0.3362257005857105
close,2015-02-28,1.7166697664593498,0.11785671999024094
close,2015-03-31,5.3716075274077664,0.42024229901382165
close,2015-04-30,8.2740645241824282,0.65918648612364628
close,2015-05-31,5.7066641221615448,0.45572982150126284
close,2015-06-30,5.7746344974737109,0.55335824780339204
close,2015-07-31,6.8548293987995601,0.51841380129587711
close,2015-08-31,5.7679955455588363,0.3753325747091662
close,2015-09-30,4.7075210257764075,0.3353013138651566
close,2015-10-31,2.5658019059102659,0.18759673188615061
close,2015-11-30,6.1004032645248349,0.43550372218283251
close,2015-12-31,3.0609110134535644,0.23889912429309479
close,2016-01-31,7.9322640212659543,0.4977014810276908
close,2016-02-29,2.8117711085768948,0.1480089318001841
close,2016-03-31,-0.39046277836924587,-0.025927298612890344
close,2016-04-30,2.3766631988245428,0.09712968691095071
close,2016-05-31,1.7136738962852793,0.07022949078153802
close,2016-06-30,1.697491931172169,0.06853956130204969
close,2016-07-31,2.683384826747218,0.15571104502018165
close,2016-08-31,0.82699535501547961,0.033660437365097301
close,2016-09-30,1.609995727887962,0.049134907744492008
close,2016-10-31,-0.30784784191063869,-0.010143325791342464
